,CNPJ
CARE11,13584584000131
FIVN11,17854016000164
BZLI11,14074706000102
XTED11,15006267000163
ALMI11,07122725000100
DOMC11,17374696000119
PABY11,00613094000174
BBVJ11,10347985000180
RBCB11,12659641000131
RBDS11,11945604000127
KNRE11,14423780000197
FMOF11,01633741000172
FLRP11,10375382000191
ATSA11,12809972000100
JRDM11,14879856000193
BMLC11,14376247000111
XPHT11,18308516000163
PQDP11,10869155000112
VSHO11,23740595000117
HTMX11,08706065000169
NEWU11,14793782000178
BPML11,33046142000149
EDGA11,15333306000137
RBBV11,16915868000151
SCPF11,01657856000105
XPML11,28757546000100
VTLT11,27368600000163
HMOC11,14733211000148
DMAC11,30579348000146
PRSV11,11281322000172
RCRB11,03683056000186
NSLU11,08014513000163
LVBI11,30629603000118
VVPR11,33045581000137
FVBI11,13022993000144
FIIB11,14217108000145
CXCE11B,10991914000115
RBIV11,30647758000187
TRXF11,28548288000152
ARRI11,32006821000121
BBRC11,12681340000104
RBRD11,09006914000134
PORD11,17156502000109
XPSF11,30983020000190
NVHO11,17025970000144
MFII11,16915968000188
MALL11,26499833000132
BBFI11B,07000400000146
SPTW11,15538445000105
TGAR11,25032881000153
VCJR11,32400250000105
RDPD11,23120027000113
RBGS11,13652006000195
ABCP11,01201140000190
JSRE11,13371132000171
VISC11,17554274000125
CTXT11,00762723000128
NVIF11B,22003469000117
CXTL11,12887506000143
RFOF11,34027774000128
VLOL11,15296696000112
EDFO11B,06175262000173
VOTS11,17870926000130
HBTT11,26846202000142
HABT11,30578417000105
RNDP11,15394563000189
PLCR11,32527683000126
SARE11,32903702000171
SDIL11,16671412000193
SADI11,32903521000145
BPFF11,17324357000128
HSML11,32892018000131
FPAB11,03251720000118
HUSC11,28851767000143
XPCM11,16802320000103
XPPR11,30654849000140
VINO11,12516185000170
RBVA11,15576907000170
MXRF11,97521225000125
GTWR11,23740527000158
BBPO11,14410722000129
LGCP11,34598181000111
BICR11,34007109000172
TFOF11,20834884000197
HGBS11,08431747000106
FIGS11,17590518000125
HGRU11,29641226000153
HGRE11,09072017000129
HGFF11,32784898000122
CBOP11,17144039000185
PLRI11,14080689000116
BCIA11,20216935000117
RBCO11,31894369000119
KNHY11,30130708000128
KFOF11,30091444000140
FVPQ11,00332266000131
XPCI11,28516301000191
KNCR11,16706958000132
KNRI11,12005956000165
KNIP11,24960430000113
FIIP11B,08696175000197
LUGG11,34835191000123
VILG11,24853044000122
RNGO11,15006286000190
RBED11,13873457000152
EURO11,05437916000127
BCRI11,22219335000138
RBFF11,17329029000114
WPLZ11,09326861000139
VRTA11,11664201000100
HLOG11,27486542000172
HFOF11,18307582000119
RBVO11,15769670000144
HGCR11,11160521000122
HGPO11,11260134000168
HGLG11,11728688000147
GRLV11,17143998000186
BRCO11,20748515000181
TEPP11,26681370000125
BARI11,29267567000100
BNFS11,15570431000160
PATC11,30048651000112
XPLG11,26502794000185
OUJP11,26091656000150
SHPH11,03507519000159
NEWL11,32527626000147
HPDP11,35586415000173
VIFI11,31547855000160
FAMB11,05562312000102
CRFF11,31887401000139
CXRI11,17098794000170
GGRC11,26614291000100
GSFI11,11769604000113
FLMA11,04141645000103
BRCR11,08924783000101
QAGR11,32754734000152
UBSR11,28152272000126
BTCR11,29787928000140
FEXC11,09552812000114
BCFF11,11026627000138
MGFF11,29216463000177
TORD11,30230870000118
HCTR11,30248180000196
THRA11,13966653000171
RBRP11,21408063000151
RECT11,32274163000159
FAED11,11179118000145
CEOC11,15799397000109
NCHB11,18085673000157
MGHT11,34197776000165
VGIP11,34197811000146
VGIR11,29852732000191
MAXR11,11274415000170
CPFF11,34081611000123
LASC11,30248158000146
CVBI11,28729197000113
RVBI11,35507457000171
DRIT11B,10456810000100
MBRF11,13500306000159
ONEF11,12948291000123
RBRR11,29467977000103
RBRY11,30166700000111
IRDM11,28830325000110
IBFF11,33721517000129
RBRF11,27529279000151
MCCI11,23648935000184
HCRI11,04066582000160
TRNT11,04722883000102
MORE11,34197727000122
OUCY11,28516650000103
OULG11,13974819000100
WTSP11B,28693595000127
OUFF11,30791386000168
BTLG11,11839593000109
XPIN11,28516325000140
FCFL11,11602654000101
ALZR11,28737771000185
CPTS11,18979895000113
HBRH11,30871698000181
CNES11,13551286000145
HOSI11,34081631000102
PVBI11,35652102000176
